,CATEGORY,FRAGMENTS,FREQUENCY
3692,No ,[1*]C([6*])=O,8642
3693,No ,[5*]N[5*],8632
3694,No ,[4*]C[8*],4423
3695,No ,[16*]c1ccccc1,3458
3696,No ,[3*]OC,2546
3697,No ,[5*]N1CCN([5*])CC1,2064
3698,No ,[16*]c1ccc([16*])cc1,1816
3699,No ,[8*]C[8*],1636
3700,No ,[5*]N1CCC([15*])CC1,1578
3701,No ,[3*]O[3*],1505
3702,No ,[1*]C(=O)C[8*],1257
3703,No ,[16*]c1cccc([16*])c1,1065
3704,No ,[15*]C1CC1,934
3705,No ,[16*]c1ccccc1[16*],921
3706,No ,[16*]c1ccc(F)cc1,818
3707,No ,[1*]C(=O)C[4*],756
3708,No ,[8*]C(F)(F)F,752
3709,No ,[5*]N([5*])C,714
3710,No ,[1*]C([1*])=O,698
3711,No ,[14*]c1csc([14*])n1,691
3712,No ,[8*]CC,647
3713,No ,[4*]CC,621
3714,No ,[14*]c1noc([14*])n1,553
3715,No ,[6*]C(N)=O,515
3716,No ,[11*]S[11*],492
3717,No ,[16*]c1ccc(Cl)cc1,482
3718,No ,[5*]N1CCCC1[13*],476
3719,No ,[14*]c1ccc([16*])cn1,428
3720,No ,[16*]c1ccccc1Cl,409
3721,No ,[1*]C(C)=O,402
3722,No ,[14*]c1ccccn1,399
3723,No ,[4*]C([8*])C,393
3724,No ,[16*]c1ccc(C)cc1,392
3725,No ,[5*]N([5*])[5*],389
3726,No ,[16*]c1ccccc1F,385
3727,No ,[16*]c1ccc([16*])c([16*])c1,371
3728,No ,[5*]N1CCCC([15*])C1,355
3729,No ,[5*]N(C)C,346
3730,No ,[5*]N1CCCC1,344
3731,No ,[4*]CC[8*],316
3732,No ,[16*]c1cccc(Cl)c1,311
3733,No ,[14*]c1nnc([14*])o1,297
3734,No ,[16*]c1ccccc1C,294
3735,No ,[8*]C(C)C,278
3736,No ,[15*]C1CCCC1,277
3737,No ,[16*]c1ccncc1,274
3738,No ,[5*]N1CCOCC1,272
3739,No ,[5*]N1CCCCC1,265
3740,No ,[1*]C(=O)CC[8*],264
3741,No ,[16*]c1cccnc1,261
3742,No ,[9*]n1cccn1,250
3743,No ,[16*]c1cccc(F)c1,242
3744,No ,[9*]n1cc([16*])cn1,239
3745,No ,[15*]C1CCCCC1,236
3746,No ,[14*]c1cc([14*])on1,226
3747,No ,[5*]N1CCC([15*])C1,220
3748,No ,[14*]c1ncccc1[16*],219
3749,No ,[9*]n1ccc([14*])n1,217
3750,No ,[9*]n1c([14*])nc2ccccc21,200
3751,No ,[16*]c1cccc(C)c1,200
3752,No ,[13*]C1CCCO1,187
3753,No ,[8*]CO,185
3754,No ,[14*]c1cccs1,184
3755,No ,[14*]c1ncccn1,181
3756,No ,[5*]NC,178
3757,No ,[14*]c1cnc([14*])s1,176
3758,No ,[9*]n1cc([14*])nn1,173
3759,No ,[14*]c1ccc([14*])o1,171
3760,No ,[9*]n1cncn1,170
3761,No ,[16*]c1c[nH]c2ccccc12,164
3762,No ,[4*]C([8*])[8*],162
3763,No ,[4*]C(C)C,161
3764,No ,[1*]C(=O)C([4*])C,161
3765,No ,[4*]CC[4*],160
3766,No ,[14*]c1nnc([14*])s1,151
3767,No ,[14*]c1nc2ccccc2s1,151
3768,No ,[5*]N1CCCN([5*])CC1,147
3769,No ,[9*]n1ncc([16*])c1C,146
3770,No ,[10*]N1CCCC1=O,146
3771,No ,[12*]S(=O)(=O)c1ccc([16*])cc1,138
3772,No ,[10*]N1CC([15*])CC1=O,131
3773,No ,[14*]c1nc(C)c([14*])s1,123
3774,No ,[9*]n1nc(C)cc1C,122
3775,No ,[6*]C(=O)O,122
3776,No ,[16*]c1ccc(C#N)cc1,120
3777,No ,[9*]n1nc(C)c([16*])c1C,119
3778,No ,[5*]N1CCc2ccccc21,117
3779,No ,[5*]N1CCCCCC1,117
3780,No ,[16*]c1ccc(Cl)cc1[16*],115
3781,No ,[14*]c1ccc2ccccc2n1,115
3782,No ,[9*]n1nnnc1[14*],113
3783,No ,[9*]n1nnc([14*])n1,111
3784,No ,[16*]c1ccc([16*])c(F)c1,110
3785,No ,[15*]C12CC3CC(CC(C3)C1)C2,108
3786,No ,[13*]C1COc2ccccc2O1,106
3787,No ,[5*]N1CCN(C)CC1,105
3788,No ,[15*]C1CCOC1,104
3789,No ,[16*]c1ccc2c(c1)OCCO2,104
3790,No ,[14*]c1cnc([14*])o1,103
3791,No ,[5*]N1CCCCC1[13*],103
3792,No ,[16*]c1cnn(C)c1,102
3793,No ,[8*]CC(C)C,100
3794,No ,[5*]N1CCc2ccccc2C1,99
3795,No ,[14*]c1cc([16*])ccn1,98
3796,No ,[16*]c1ccc(F)cc1F,97
3797,No ,[15*]C1CC1[15*],97
3798,No ,[3*]OC(F)F,96
3799,No ,[14*]c1ccco1,95
3800,No ,[14*]c1cnccn1,94
3801,No ,[14*]c1nc2ccccc2[nH]1,92
3802,No ,[15*]C1CCC1,92
3803,No ,[14*]c1ccc([14*])s1,91
3804,No ,[14*]c1cc2ccccc2[nH]1,91
3805,No ,[16*]c1ccc(Br)cc1,90
3806,No ,[14*]c1nnc2ccccn12,90
3807,No ,[8*]CC[8*],88
3808,No ,[9*]n1ccnc1,87
3809,No ,[15*]C1CC2CCC1C2,85
3810,No ,[9*]n1c([14*])nnc1[14*],84
3811,No ,[16*]c1ccc(Cl)c(Cl)c1,81
3812,No ,[14*]c1cc(C)nc2c([16*])c(C)nn12,79
3813,No ,[16*]c1ccc(Cl)cc1Cl,79
3814,No ,[15*]C1([15*])CC1,79
3815,No ,[16*]c1cc([16*])cc([16*])c1,78
3816,No ,[14*]c1cc([16*])c2ccccc2n1,77
3817,No ,[5*]N1CCOC([13*])C1,77
3818,No ,[16*]c1ccc(F)c(F)c1,76
3819,No ,[14*]c1cc([14*])[nH]n1,76
3820,No ,[4*]CC(C)C,76
3821,No ,[4*]CC(N)=O,75
3822,No ,[9*]n1ncc([16*])c1[14*],75
3823,No ,[14*]c1nc2ccccc2o1,74
3824,No ,[5*]N1c2ccccc2CC1C,74
3825,No ,[14*]c1cc2ccccc2o1,73
3826,No ,[16*]c1ccc(C)c([16*])c1,73
3827,No ,[14*]c1nnc([14*])n1C,73
3828,No ,[14*]c1coc([14*])n1,73
3829,No ,[13*]C1Cc2ccccc2O1,72
3830,No ,[16*]c1ccc([16*])c(C)c1,71
3831,No ,[5*]N1CC=C(c2c[nH]c3ccccc23)CC1,70
3832,No ,[12*]S(=O)(=O)c1cccc([16*])c1,70
3833,No ,[14*]c1cnc2ccccc2n1,69
3834,No ,[16*]c1cccc2ncccc12,68
3835,No ,[5*]N1CCc2cc([16*])c([16*])cc2C1,68
3836,No ,[9*]n1ccnc1[14*],67
3837,No ,[16*]c1cccc2cccnc12,67
3838,No ,[9*]n1cnnc1[14*],66
3839,No ,[14*]c1n[nH]c2ccccc12,66
3840,No ,[14*]c1nc(C)no1,64
3841,No ,[16*]c1cccc(C#N)c1,63
3842,No ,[8*]CC(N)=O,62
3843,No ,[1*]C(=O)C(C)C,62
3844,No ,[12*]S(C)(=O)=O,61
3845,No ,[16*]c1cc(C)ccc1C,61
3846,No ,[16*]c1ccccc1O,61
3847,No ,[9*]n1c(=O)c([16*])c(C)n1C,60
3848,No ,[14*]c1ccc(C)o1,60
3849,No ,[16*]c1ccc2c(c1)CCC2,59
3850,No ,[16*]c1c(F)cccc1F,59
3851,No ,[5*]N1CCC(C)CC1,59
3852,No ,[15*]C1([15*])CCC1,59
3853,No ,[5*]N1CCNC(=O)C1,58
3854,No ,[5*]N1CCC(O)CC1,58
3855,No ,[16*]c1ccc2[nH]c3c(c2c1)CCCC3,57
3856,No ,[4*]CCC[8*],57
3857,No ,[5*]N1CCCc2ccccc21,57
3858,No ,[16*]c1ccc(C)cc1[16*],57
3859,No ,[14*]c1nccs1,56
3860,No ,[14*]c1ccc(C#N)cn1,56
3861,No ,[16*]c1c(F)cccc1Cl,56
3862,No ,[9*]n1nnc([14*])c1C,55
3863,No ,[15*]C1CCC([15*])CC1,54
3864,No ,[6*]C(C)=O,54
3865,No ,[9*]n1c(=O)oc2ccccc21,53
3866,No ,[5*]N1CCCc2cc([16*])ccc21,52
3867,No ,[14*]c1noc(C)c1[16*],52
3868,No ,[4*]CC([4*])[8*],52
3869,No ,[10*]N1C(=O)CCC1=O,51
3870,No ,[10*]N1CCC([15*])C1=O,51
3871,No ,[16*]c1ccsc1,51
3872,No ,[16*]c1cccc(Br)c1,51
3873,No ,[14*]c1nc([14*])c(C)o1,51
3874,No ,[8*]CS(=O)C[8*],51
3875,No ,[15*]C1CCCCCC1,51
3876,No ,[16*]c1ccc(C)cc1C,50
3877,No ,[5*]N1CCN(C)CC1[13*],50
3878,No ,[4*]CCO,50
3879,No ,[16*]c1ccc([16*])c(Cl)c1,50
3880,No ,[5*]N1Cc2ccccc2CC1[13*],49
3881,No ,[5*]N1CC(C)OC(C)C1,49
3882,No ,[14*]c1ccc([14*])nn1,49
3883,No ,[9*]n1cnnn1,49
3884,No ,[14*]c1nsc([14*])n1,49
3885,No ,[16*]c1ccc(F)cc1[16*],49
3886,No ,[9*]n1cc([16*])c2ccccc21,49
3887,No ,[14*]c1ccnc([14*])n1,49
3888,No ,[14*]c1nccn1C,48
3889,No ,[9*]n1cnc2c1c(=O)n(C)c(=O)n2C,48
3890,No ,[16*]c1cccc(C)c1C,48
3891,No ,[9*]n1cc([16*])c([14*])n1,48
3892,No ,[3*]OC(F)(F)F,48
3893,No ,[16*]c1ccccc1Br,48
3894,No ,[16*]c1cc(C)cc(C)c1,48
3895,No ,[14*]c1cc2ccc([16*])cc2[nH]1,47
3896,No ,[12*]S(=O)(=O)c1cc([16*])ccc1C,47
3897,No ,[16*]c1ccc2c(c1)OCC(=O)N2,46
3898,No ,[16*]c1cn(C)c2ccccc12,46
3899,No ,[16*]c1ccc(C)c(C)c1,44
3900,No ,[5*]N1CC(C)CC(C)C1,44
3901,No ,[14*]c1cccc(C)n1,44
3902,No ,[16*]c1ccc2c(c1)OCO2,43
3903,No ,[14*]c1ncccc1C#N,43
3904,No ,[1*]C(=O)CC[4*],43
3905,No ,[9*]n1nccc1[14*],42
3906,No ,[14*]c1cccc([14*])n1,42
3907,No ,[14*]c1nc2ccc([16*])cc2s1,42
3908,No ,[16*]c1ccc(O)cc1,42
3909,No ,[9*]n1nnn([9*])c1=O,42
3910,No ,[16*]c1cc([16*])c([16*])c([16*])c1,41
3911,No ,[9*]n1nc([14*])cc1C,41
3912,No ,[16*]c1ccc(F)cc1Cl,41
3913,No ,[16*]c1cccc([16*])c1[16*],40
3914,No ,[5*]N1CCc2cc([16*])ccc21,40
3915,No ,[16*]c1ccc(F)c([16*])c1,40
3916,No ,[16*]c1ccc2c(c1)CCO2,40
3917,No ,[14*]c1nc([14*])c(C)s1,40
3918,No ,[14*]c1cc(C)on1,40
3919,No ,[15*]C1CCOCC1,39
3920,No ,[9*]n1nc([14*])nc1C,39
3921,No ,[4*]CC(F)(F)F,39
3922,No ,[15*]C1C=CCC1,39
3923,No ,[9*]n1ncc2c([14*])ncnc21,39
3924,No ,[5*]N1CCCCC1C,39
3925,No ,[16*]c1ccc(Cl)c([16*])c1,39
3926,No ,[15*]C1CCN(C)CC1,39
3927,No ,[14*]c1cc2ccccc2s1,39
3928,No ,[16*]c1ccccc1C#N,38
3929,No ,[9*]n1cnc([14*])n1,38
3930,No ,[16*]c1cc(O)nc2ccccc12,38
3931,No ,[15*]C1CCCCNC1=O,38
3932,No ,[16*]c1cnc2c(c1)c(C)nn2C,38
3933,No ,[8*]CC=C,38
