,CATEGORY,FRAGMENTS,FREQUENCY
0,Yes,[16*]c1ccc([16*])cc1,3954
1,Yes,[16*]c1ccccc1,3224
2,Yes,[7*]C[8*],3101
3,Yes,[3*]OC,2925
4,Yes,[5*]N(C)C,1965
5,Yes,[5*]N([5*])[5*],1701
6,Yes,[3*]O[3*],1661
7,Yes,[4*]CC,1144
8,Yes,[5*]N[5*],1042
9,Yes,[1*]C([6*])=O,719
10,Yes,[8*]C(C)(C)C,660
11,Yes,[7*]CC[7*],473
12,Yes,[8*]CC,457
13,Yes,[4*]C(C)(C)C,431
14,Yes,[7*]C(C#N)C#N,417
15,Yes,[9*]n1c2ccccc2c2ccccc21,402
16,Yes,[8*]C(F)(F)F,402
17,Yes,[16*]c1ccc(C)cc1,379
18,Yes,[1*]C([1*])=O,352
19,Yes,[14*]c1ccc([14*])s1,347
20,Yes,[14*]c1nc2cc([16*])ccc2o1,297
21,Yes,[4*]C[8*],289
22,Yes,[14*]c1cccs1,273
23,Yes,[9*]n1c2ccccc2c2cc([16*])ccc21,264
24,Yes,[1*]C(=O)C([4*])C[8*],244
25,Yes,[6*]C(=O)O,237
26,Yes,[16*]c1ccc(C#N)cc1,231
27,Yes,[14*]c1nnc([14*])o1,225
28,Yes,[14*]c1nc2ccccc2s1,215
29,Yes,[6*]C(=O)C[7*],214
30,Yes,[7*]C([8*])C#N,212
31,Yes,[4*]CC[4*],211
32,Yes,[8*]C[8*],208
33,Yes,[7*]CC([7*])[8*],207
34,Yes,[16*]c1ccc2cc([16*])c(=O)oc2c1,203
35,Yes,[16*]c1ccccc1[16*],202
36,Yes,[4*]CCCC,202
37,Yes,[16*]c1ccc([N+](=O)[O-])cc1,195
38,Yes,[9*]n1c2ccc([16*])cc2c2cc([16*])ccc21,186
39,Yes,[16*]c1ccc2ccc3cccc4ccc1c2c34,185
40,Yes,[14*]c1ccccn1,183
41,Yes,[16*]c1ccc([16*])c([16*])c1,176
42,Yes,[8*]CCCC,176
43,Yes,[5*]N1CCCCC1,175
44,Yes,[16*]c1cccc([16*])c1,171
45,Yes,[14*]c1nc([14*])nc([14*])n1,163
46,Yes,[16*]c1ccncc1,163
47,Yes,[8*]C(C)C,160
48,Yes,[16*]c1c2ccccc2cc2ccccc12,150
49,Yes,[10*]N1C(=O)c2cccc3c([16*])ccc(c23)C1=O,144
50,Yes,[16*]c1cccc2ccccc12,142
51,Yes,[8*]CO,135
52,Yes,[1*]C(C)=O,134
53,Yes,[16*]c1ccc(Cl)cc1,127
54,Yes,[6*]C([6*])=O,126
55,Yes,[8*]CCCCCC,123
56,Yes,[6*]C(C)=O,121
57,Yes,[5*]N1CCOCC1,114
58,Yes,[16*]c1cc([16*])cc([16*])c1,114
59,Yes,[7*]C([8*])[8*],109
60,Yes,[7*]C1CCC([7*])C1=O,107
61,Yes,[16*]c1ccc(F)cc1,107
62,Yes,[16*]c1c2ccccc2c([16*])c2ccccc12,105
63,Yes,[16*]c1cc([16*])c([16*])cc1[16*],103
64,Yes,[1*]C(=O)C[7*],103
65,Yes,[16*]c1ccc2c3c(cccc13)C(=O)c1ccccc1-2,100
66,Yes,[14*]c1nc2ccc([16*])cc2s1,98
67,Yes,[14*]c1nc([14*])c([14*])[nH]1,95
68,Yes,[7*]C1C(=O)Nc2ccccc21,94
69,Yes,[16*]c1ccc(Br)cc1,92
70,Yes,[5*]N1c2ccccc2C(C)(C)c2ccccc21,91
71,Yes,[4*]CCCCCC,91
72,Yes,[1*]C(=O)C[4*],90
73,Yes,[16*]c1ccccc1O,89
74,Yes,[9*]n1c([14*])nc2c3ccccc3c3ccccc3c21,89
75,Yes,[16*]c1ccc2ccccc2c1,86
76,Yes,[5*]N([5*])C,86
77,Yes,[11*]SC,85
78,Yes,[14*]c1cc([14*])nc([14*])n1,85
79,Yes,[14*]c1csc([14*])n1,84
80,Yes,[9*]n1c([14*])nc2c3ccc([16*])cc3c3cc([16*])ccc3c21,82
81,Yes,[16*]c1ccc(O)c([16*])c1,82
82,Yes,[5*]N1CCCC1,82
83,Yes,[4*]CCCCCCCC,82
84,Yes,[14*]c1cc([16*])cc([14*])n1,77
85,Yes,[16*]c1ccc(O)cc1,75
86,Yes,[14*]c1nc2ccccc2o1,75
87,Yes,[8*]C(CCCCCC)CCCCCC,72
88,Yes,[13*]C1CC(c2ccc(O)cc2)=NN1c1ccc(S(N)(=O)=O)cc1,70
89,Yes,[16*]c1ccc2c(c1)C(CC)(CC)c1cc([16*])ccc1-2,70
90,Yes,[16*]c1ccc([16*])c2nsnc12,70
91,Yes,[5*]NC,70
92,Yes,[9*]n1cc([16*])c([14*])n1,70
93,Yes,[13*][C@H]1C[C@H](O)[C@@H]([13*])O1,68
94,Yes,[4*]CCCCCCCCCCCC,68
95,Yes,[14*]c1cc2ccccc2s1,67
96,Yes,[14*]c1nc2c3ccccc3c3ccccc3c2[nH]1,65
97,Yes,[6*]C(=O)[O-],65
98,Yes,[1*]C(=O)C([7*])C#N,65
99,Yes,[7*]CC1=CC([7*])CC(C)(C)C1,64
100,Yes,[4*]CCC,64
101,Yes,[14*]c1nc([14*])n2ccccc12,62
102,Yes,[5*]N1c2ccccc2Sc2cc([16*])ccc21,62
103,Yes,[16*]c1cc([16*])c([16*])c([16*])c1,61
104,Yes,[14*]c1cc2c(s1)c([16*])cc(=O)n2C,61
105,Yes,[16*]c1ccc([16*])c(C=O)c1,60
106,Yes,[16*]c1cc2ccccc2oc1=O,56
107,Yes,[16*]c1ccc2cc([16*])ccc2c1,56
108,Yes,[16*]c1cc2c3ccccc3n(C)c2cc1[16*],54
109,Yes,[7*]CC1=[N+](C)c2ccccc2C1(C)C,54
110,Yes,[16*]c1ccc(C2=C3C=CC(C)=[N+]3[B-](F)(F)n3c(C)ccc32)cc1,53
111,Yes,[8*]CC(CC)CCCC,53
112,Yes,[16*]c1cc2c3c(c1)CCCN3CCC2,53
113,Yes,[4*]CCO,52
114,Yes,[9*]n1c([14*])nc2ccccc21,51
115,Yes,[11*]S[11*],51
116,Yes,[16*]c1cc[n+](C)cc1,51
117,Yes,[16*]c1ccc(/C=N/c2cc([16*])c(O)cc2C)cc1,51
118,Yes,[14*]c1ccc([16*])cn1,51
119,Yes,[7*]C1N=C(c2ccccc2)OC1=O,50
120,Yes,[16*]c1ccc([16*])c(O)c1,49
121,Yes,[5*]N1c2ccccc2Oc2ccccc21,49
122,Yes,[16*]c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],48
123,Yes,[16*]c1ccc2c3cccc4c([16*])ccc(c5cccc1c52)c43,48
124,Yes,[16*]c1ccccc1C,47
125,Yes,[14*]c1ccc(C#N)s1,47
126,Yes,[4*]CCCCCCCCCCCCCCCC,46
127,Yes,[1*]C(=O)C[8*],46
128,Yes,[5*]N1c2ccccc2C(C)(C)C1[7*],46
129,Yes,[5*][N+]#[C-],45
