,Fluorescent labeling,FRAGMENTS,FREQUENCY
54605,Yes,cc1ccccc1,9698
44184,Yes,Cc1ccccc1,8657
46986,Yes,c1ccccc1,7690
11404,No ,Cc1ccccc1,6648
44707,Yes,Nc1ccccc1,6370
42191,Yes,CCCCCCC,5759
46566,Yes,c-c1ccccc1,5116
50465,Yes,cc(c)C(C)(C)C,5004
50957,Yes,cc(c)N(C)C,4274
47765,Yes,cN(c)c1ccccc1,4143
59011,Yes,ccc1ccccc1c,3781
51015,Yes,cc(c)N(c(c)c)c1ccccc1,3770
15674,No ,c1ccccc1,3718
51140,Yes,cc(c)OC,3665
60757,Yes,nc1ccccc1,3313
40598,Yes,C=Cc1ccc(N)cc1,3192
43942,Yes,Cc1ccc(N(C)C)cc1,3030
42134,Yes,CCCC,3012
40921,Yes,C=[N+](C)[B-](F)(F)n(c)c,2840
23614,No ,cc(c)OC,2825
14117,No ,Nc1ccccc1,2232
50107,Yes,cc(c)-n1c(c)c(c)c2ccccc21,2150
15095,No ,c-c1ccccc1,2130
42158,Yes,CCCCC,2129
38235,No ,nc1ccccc1,2028
58998,Yes,ccc1ccc(c)cc1c,2019
56697,Yes,ccc(cc)N(C)C,2003
56785,Yes,ccc(cc)OC,1983
43957,Yes,Cc1ccc(N(c)c)cc1,1947
51764,Yes,cc(c)c1ccccc1n,1930
42179,Yes,CCCCCC,1865
21600,No ,cc(c)C(=O)N(C)C,1796
28592,No ,ccc(F)cc,1772
22191,No ,cc(c)C(F)(F)F,1749
54580,Yes,cc1cccc2cccc(c)c12,1689
26801,No ,cc1ccccc1,1666
42751,Yes,CN(C)c1ccccc1,1609
37552,No ,n-c1ccccc1,1593
56534,Yes,ccc(cc)C(C)(C)C,1591
55414,Yes,ccc(/C=C/c(c)c)cc,1555
54659,Yes,cc1ccccc1n(c)-c,1518
14581,No ,Oc1ccccc1,1512
46862,Yes,c/C=C/c1ccccc1,1506
55634,Yes,ccc(C)cc,1497
58743,Yes,ccc1c2ccccc2n(-c)c1c,1494
12981,No ,Fc1ccccc1,1489
55527,Yes,ccc(C#Cc(c)c)cc,1484
28478,No ,ccc(Cl)cc,1458
51980,Yes,cc(n)-c1ccccc1,1452
51763,Yes,cc(c)c1ccccc1c,1451
56262,Yes,ccc(cc)-c1ccccc1,1428
49814,Yes,cc(c)-c1ccccc1,1419
43287,Yes,COc1ccc(C)cc1,1397
50346,Yes,cc(c)C#N,1396
50503,Yes,cc(c)C(F)(F)F,1389
21772,No ,cc(c)C(=O)NC,1378
34156,No ,cn(n)-c1ccccc1,1369
21858,No ,cc(c)C(=O)Nc,1356
46464,Yes,c-c1ccc(N(c)c)cc1,1356
49643,Yes,cc(c)-c1ccc(-c)cc1,1338
43384,Yes,COc1ccccc1,1318
43266,Yes,COc1ccc(-c)cc1,1255
49685,Yes,cc(c)-c1ccc(C)cc1,1253
12546,No ,Clc1ccccc1,1248
56720,Yes,ccc(cc)N(c(cc)cc)c(cc)cc,1233
50969,Yes,cc(c)N(CC)CC,1199
43111,Yes,COC(C)(C)C,1188
27980,No ,ccc(C)cc,1175
38987,Yes,C=C(C)C#N,1162
23356,No ,cc(c)N1CCN(C)CC1,1156
44886,Yes,Oc1ccccc1,1154
47253,Yes,cC#Cc1ccccc1,1134
30700,No ,ccc(cc)OC,1111
15929,No ,cC(=O)N1CCN(C)CC1,1110
51336,Yes,cc(c)[N+](=O)[O-],1098
54459,Yes,cc1cccc(c)c1,1056
48890,Yes,cc(C)c1ccccc1c,1056
23746,No ,cc(c)S(=O)(=O)N(C)C,1019
42322,Yes,CCN(C)c,1016
40571,Yes,C=Cc1ccc(C)cc1,1013
49713,Yes,cc(c)-c1ccc(N)cc1,984
39578,Yes,C=C(c)c1ccccc1,977
15679,No ,c1ccncc1,951
57718,Yes,ccc1c(c)C(C)(C)c2ccccc2-1,940
48461,Yes,cc(-c)c1ccccc1c,931
41615,Yes,CC(C)[Si](C)(C)C,918
9431,No ,COc1ccccc1,917
42404,Yes,CCOC,905
10808,No ,Cc1ccc(C(N)=O)cc1,904
49816,Yes,cc(c)-c1ccccc1C,885
13830,No ,NCc1ccccc1,880
13464,No ,NC(=O)c1ccccc1,879
7733,No ,CNC1CCN(C)CC1,873
50403,Yes,cc(c)C(=O)N(C)C,856
56430,Yes,ccc(cc)-n1c(cc)c(c)c(c)c1cc,846
44893,Yes,Pc1ccccc1,842
10960,No ,Cc1ccc(F)cc1,829
60561,Yes,n-c1ccccc1,829
59403,Yes,cn(c)-c1ccc(C)cc1,801
9188,No ,COc1ccc(C)cc1,780
38904,Yes,C/C=C/c1ccccc1,776
10884,No ,Cc1ccc(CN)cc1,773
38731,Yes,C#Cc1ccc(C)cc1,771
46447,Yes,c-c1ccc(N(C)C)cc1,770
58344,Yes,ccc1c(c)cc(c)c2c(c)cccc12,764
376,No ,CC(=O)N1CCN(C)CC1,752
8407,No ,CNc1ccccc1,752
50418,Yes,cc(c)C(=O)OC,749
6899,No ,CN1CCC(C(N)=O)CC1,748
6528,No ,CN(C)c1ccccc1,747
54409,Yes,cc1cccc(C)c1,740
46411,Yes,c-c1ccc(C(C)(C)C)cc1,734
52999,Yes,cc1c2ccccc2n(CC)c1c,731
30010,No ,ccc(cc)C(=O)N(CC)CC,718
51161,Yes,cc(c)OCCCC,717
4919,No ,CCN1CCN(C)CC1,704
42457,Yes,CCOCCOC,689
28992,No ,ccc(OC)c(c)O,688
